origin,destination,demand,index
1,547,2494.565,1
9,555,3349.725,1
36,582,3050.435,1
39,585,3368.93,1
45,591,3119.095,1
52,598,1020.64,1
53,599,2332.665,1
54,600,629.935,1
57,603,823.425,1
75,621,1342.615,1
81,627,4176.025,1
115,661,2021.805,1
126,672,253.645,1
145,691,3595.67,1
155,701,2234.55,1
169,715,279.545,1
182,728,1138.505,1
184,730,732.965,1
185,731,474.79,1
188,734,1514.255,1
195,741,449.45,1
202,748,831.765,1
249,795,1214.49,1
272,818,289.665,1
288,834,2650.53,1
296,842,625.13,1
300,846,204.32,1
302,848,122.985,1
329,875,332.355,1
341,887,45.13,1
351,897,904.395,1
352,898,317.58,1
378,924,94.5,1
384,930,100,1
388,708,109.055,1
390,389,65.85,1
391,715,255.8,1
394,584,279.4793516,1
398,399,3501.719965,1
400,401,1079.338145,1
401,402,50,1
412,411,2251.279025,1
416,415,795.795,1
417,926,185.5,1
427,594,2371.929077,1
431,593,1348.25,1
432,431,2611.473141,1
437,438,3332.144786,1
440,439,3405.316166,1
440,441,2040.341337,1
445,885,35.225,1
448,665,568.88,1
453,650,321.6079442,1
456,836,442.785,1
459,460,1023.665,1
462,927,784.5,1
465,464,873.155,1
470,469,1217.77,1
472,473,3210.915,1
475,707,375.1602703,1
477,478,4010.3365,1
479,480,4008.399808,1
488,680,1362.38878,1
489,630,922.17,1
493,492,2222.925,1
500,566,2958.327236,1
505,634,2562.620818,1
510,509,3140.516075,1
517,518,81.88,1
519,521,1264.612509,1
527,543,1877.735003,1
528,526,2028.355003,1
531,529,4275.305037,1
550,549,1768.475,1
550,551,2996.386063,1
553,7,4265.13,1
553,496,2655.861928,1
554,619,1375.332157,1
559,562,1902.065844,1
566,559,2340.332236,1
575,530,1613.04,1
578,645,691.3475267,1
578,580,582.96,1
584,586,923.4,1
584,395,886.4400071,1
589,43,3235.94,1
589,591,2690.916036,1
590,401,2898.076672,1
590,592,2586.997537,1
590,44,3469.075,1
600,602,1630.56977,1
603,718,456.0637773,1
613,591,1110.048985,1
617,595,581.7858758,1
625,622,562.71,1
631,489,1343.629063,1
637,572,1370.971926,1
640,635,695.2231943,1
644,643,1988.464368,1
646,100,2053.98,1
649,642,937.5214035,1
651,105,434.31,1
652,452,1229.175,1
652,645,2072.165,1
653,652,1390.325,1
656,660,1476.843923,1
656,110,2107.465,1
656,579,1232.998569,1
657,659,839.24,1
662,116,1081.235,1
664,669,1688.82044,1
667,666,744.875,1
667,509,983.225,1
670,519,535.62,1
670,512,125.645,1
671,676,1364.454963,1
676,678,959.796548,1
677,675,1465.661759,1
679,133,4330.13,1
680,611,2079.866442,1
685,686,595.27,1
689,408,1381.502633,1
692,407,1489.735,1
693,694,1114.155,1
695,149,2621.505,1
696,150,647.135,1
698,697,1148.475,1
712,166,1758.66,1
719,723,448.5641198,1
722,724,615.3372733,1
732,417,103.245,1
733,415,317,1
734,736,804.825,1
739,740,355.235,1
739,193,36.53,1
740,739,655.4016787,1
742,196,301.715,1
742,748,652.9593855,1
742,740,121.685,1
743,922,289.6589811,1
743,751,519.785,1
744,198,787.26,1
752,743,119.715,1
754,749,868.5850306,1
755,756,2376.645965,1
755,751,890.4835694,1
759,213,38.595,1
763,765,1639.098793,1
764,765,153.56,1
766,422,653.1014474,1
767,766,880.455,1
769,774,249.165,1
770,768,157.99,1
774,769,266.1689851,1
775,776,1067.301249,1
783,918,24.75,1
789,783,210.66,1
792,788,125.46,1
796,800,361.03,1
800,254,268.13,1
802,388,380.665,1
806,808,521.875,1
810,264,126.44,1
812,866,201.735,1
823,828,528.825,1
823,824,497.725,1
823,277,555.175,1
838,292,242.685,1
842,837,443.96,1
844,848,98.16063666,1
847,857,27.96,1
849,851,47.84063666,1
849,853,106.34,1
849,859,28.9,1
850,304,166.545,1
852,853,102.795,1
852,850,145.33,1
853,852,112.445,1
856,855,80.17,1
858,446,228.935,1
859,849,114.8,1
859,313,60.745,1
863,862,81.805,1
864,732,90.99,1
865,319,309.155,1
868,866,305.545,1
877,461,448.485,1
877,876,218.805,1
878,877,175.9,1
880,879,9.13,1
883,337,18.8,1
886,445,320.38,1
889,343,37.7,1
896,899,14.83,1
905,670,358.455,1
905,359,1923.11,1
913,367,698.815,1
917,781,122.76,1
926,380,185.5,1
926,417,242,1
