origin,destination,demand,index
1,547,2095.4346,1
14,560,6200.7498,1
36,582,2562.3654,1
43,589,2208.2088,1
45,591,2620.0398,1
53,599,1959.4386,1
57,603,691.677,1
127,673,897.8844,1
145,691,3020.3628,1
182,728,956.3442,1
184,730,615.6906,1
185,731,398.8236,1
188,734,1271.9742,1
195,741,377.538,1
202,748,698.6826,1
211,757,882.9576,1
230,776,1265.103,1
249,795,1020.1716,1
253,799,593.0988,1
272,818,243.3186,1
288,834,2226.4452,1
294,840,288.393,1
314,860,209.5254,1
341,887,157.9092,1
349,895,61.824,1
351,897,759.6918,1
365,911,369.0414,1
378,924,79.38,1
387,933,2451.54,1
391,715,214.872,1
394,584,234.7626553,1
400,401,906.644042,1
401,402,108,1
411,410,2065.882929,1
416,415,668.4678,1
420,752,633.55849,1
420,421,2075.309488,1
423,424,2642.475314,1
424,423,1274.298252,1
437,438,2799.001621,1
438,540,2186.455252,1
440,439,2860.46558,1
445,885,149.589,1
446,445,377.4582,1
448,664,859.0044655,1
453,650,270.1506732,1
456,836,371.9394,1
456,836,371.9394,1
462,461,863.373,1
470,469,1022.9268,1
474,538,1832.1618,1
481,483,1487.202471,1
484,629,225.3594,1
500,566,2484.994878,1
505,634,2152.601487,1
510,509,2638.033504,1
511,521,1086.9726,1
519,521,1062.274508,1
527,543,1577.297403,1
531,529,3591.256231,1
531,529,3591.256231,1
540,622,636.049765,1
550,551,2516.964293,1
550,549,1485.519,1
552,435,2395.750932,1
553,496,2230.92402,1
553,7,3582.7092,1
553,550,1305.712801,1
554,437,2163.042957,1
569,572,1020.205922,1
572,571,2133.469381,1
575,530,1354.9536,1
576,577,529.6368,1
578,580,489.6864,1
578,645,580.7319225,1
584,586,775.656,1
586,40,439.9248,1
589,591,2260.369471,1
590,401,2434.384404,1
590,401,2434.384404,1
592,587,932.2514405,1
592,609,850.6134,1
598,52,1087.821,1
603,718,383.0935729,1
608,537,2314.277872,1
610,615,2824.096133,1
613,591,932.4411475,1
616,599,239.9301006,1
617,595,488.7001357,1
617,433,630.761841,1
621,75,741.909,1
636,90,926.8224,1
636,501,1444.292034,1
638,815,235.9440709,1
641,95,1049.4162,1
644,643,1670.31007,1
646,100,1725.3432,1
649,642,787.517979,1
650,651,458.3166,1
652,452,1032.507,1
652,645,1740.6186,1
653,652,1167.873,1
656,660,1240.548895,1
656,579,1035.718798,1
661,902,881.399459,1
662,116,908.2374,1
664,669,1418.60917,1
667,509,825.909,1
667,666,625.695,1
670,519,449.9208,1
670,512,105.5418,1
671,672,456.267,1
673,671,887.71908,1
680,611,1747.087811,1
689,408,1160.462212,1
690,688,684.739735,1
692,407,1251.3774,1
697,698,795.294359,1
698,697,964.719,1
705,706,1073.254594,1
707,638,347.4324,1
711,713,598.836855,1
714,913,62.6892,1
716,713,180,1
722,724,516.8833095,1
733,415,266.28,1
734,736,676.053,1
738,742,168.2814,1
738,192,233.4192,1
739,740,298.3974,1
739,193,150.6852,1
741,743,171.7791441,1
742,740,102.2154,1
744,198,661.2984,1
750,746,228.942,1
752,743,100.5606,1
752,420,991.7838,1
755,751,748.006198,1
755,209,1333.8402,1
759,757,354.102,1
759,761,338.8224,1
766,422,548.605216,1
767,221,989.5788,1
770,768,132.7116,1
781,782,106.3692,1
787,795,442.9443975,1
789,783,176.9544,1
792,788,105.3864,1
792,800,174.8056959,1
796,800,303.2652,1
796,798,299.6014624,1
800,254,225.2292,1
802,388,319.7586,1
802,801,96.8394,1
806,808,438.375,1
807,806,218.0472679,1
809,697,938.0702165,1
809,263,151.4394,1
810,264,106.2096,1
811,816,162.582,1
812,866,169.4574,1
816,811,126.7182,1
817,271,147.5082,1
823,824,418.089,1
823,828,444.213,1
825,826,204.3258,1
825,827,98.0784,1
833,823,758.7216,1
835,840,115.599741,1
839,847,264.57,1
846,845,153.642,1
847,857,203.4864,1
847,857,263.4864,1
848,302,103.848,1
849,851,40.1861348,1
849,853,89.3256,1
849,859,204.276,1
851,669,445.6452,1
852,850,122.0772,1
852,854,117.6,1
858,446,192.3054,1
865,319,259.6902,1
877,461,376.7274,1
880,881,198.5136,1
881,884,103.0626,1
881,878,95.5584,1
889,343,151.668,1
890,344,321.4578,1
905,359,1615.4124,1
905,670,301.1022,1
905,513,1148.9016,1
906,516,937.167,1
907,361,182.5992,1
908,911,93.2022,1
913,367,587.0046,1
914,785,71.8704,1
917,781,103.1184,1
926,417,203.28,1
926,380,155.82,1
932,515,189.24,1
